loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,education_encoded,self_employed_encoded,loan_status_encoded,total_assets_value,loan_to_income_ratio,assets_to_loan_ratio,monthly_income,monthly_loan_payment,debt_to_income_ratio
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000, Rejected,0,0,1,43400000,2.839080459770115,1.757085020242915,725000.0,2470000.0,3.406896551724138
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved,1,0,0,21500000,2.0,2.8289473684210527,316666.6666666667,1900000.0,6.0
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved,1,1,0,70300000,2.738095238095238,3.0565217391304347,700000.0,1916666.6666666667,2.738095238095238
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000, Approved,0,1,0,39500000,3.8627450980392157,2.00507614213198,425000.0,985000.0,2.3176470588235296
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000, Approved,1,0,0,29300000,3.656716417910448,1.1959183673469387,558333.3333333334,2041666.6666666667,3.6567164179104474
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000, Rejected,1,0,1,18100000,2.4651162790697674,1.7075471698113207,358333.3333333333,588888.8888888889,1.6434108527131783
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000, Approved,0,1,0,72900000,3.2795698924731185,2.3901639344262295,775000.0,1694444.4444444445,2.186379928315412
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000, Rejected,0,0,1,49200000,2.4864864864864864,2.6739130434782608,616666.6666666666,920000.0,1.491891891891892
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000, Approved,1,1,0,28200000,3.309090909090909,1.5494505494505495,458333.3333333333,1137500.0,2.481818181818182
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000, Rejected,1,0,1,77400000,2.223529411764706,4.095238095238095,708333.3333333334,1050000.0,1.4823529411764704
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000, Approved,1,1,0,42400000,3.1770833333333335,1.3901639344262295,800000.0,1694444.4444444445,2.118055555555556
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000, Rejected,1,1,1,65100000,3.284090909090909,2.2525951557093427,733333.3333333334,4816666.666666667,6.568181818181818
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000, Approved,1,1,0,20600000,2.272727272727273,2.7466666666666666,275000.0,375000.0,1.3636363636363635
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000, Approved,0,1,0,30400000,3.1538461538461537,2.4715447154471546,325000.0,683333.3333333334,2.1025641025641026
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000, Rejected,0,0,1,33300000,2.5121951219512195,3.233009708737864,341666.6666666667,858333.3333333334,2.5121951219512195
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000, Approved,1,0,0,54000000,3.5060240963855422,1.8556701030927836,691666.6666666666,2910000.0,4.207228915662651
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000, Rejected,1,1,1,9200000,3.740740740740741,0.9108910891089109,225000.0,505000.0,2.2444444444444445
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000, Approved,0,0,0,25900000,2.2142857142857144,2.088709677419355,466666.6666666667,3100000.0,6.642857142857142
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000, Rejected,0,0,1,14100000,2.6315789473684212,2.82,158333.33333333334,416666.6666666667,2.631578947368421
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000, Rejected,1,1,1,2800000,3.0,1.8666666666666667,41666.666666666664,75000.0,1.8
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000, Approved,0,1,0,28500000,3.509433962264151,1.532258064516129,441666.6666666667,4650000.0,10.528301886792452
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000, Rejected,1,0,1,59200000,2.6142857142857143,3.2349726775956285,583333.3333333334,4575000.0,7.8428571428571425
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000, Approved,1,1,0,31500000,2.8793103448275863,1.8862275449101797,483333.3333333333,1043750.0,2.15948275862069
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000, Rejected,1,0,1,17900000,3.230769230769231,2.130952380952381,216666.66666666666,1400000.0,6.461538461538462
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved,1,0,0,9000000,3.4210526315789473,1.3846153846153846,158333.33333333334,361111.1111111111,2.280701754385965
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000, Approved,0,0,0,41300000,2.5964912280701755,2.7905405405405403,475000.0,925000.0,1.9473684210526316
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000, Approved,0,0,0,67000000,3.7222222222222223,2.0,750000.0,4187500.0,5.583333333333333
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000, Approved,1,0,0,57400000,3.458823529411765,1.9523809523809523,708333.3333333334,2450000.0,3.4588235294117644
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000, Approved,1,0,0,5900000,2.0,4.214285714285714,58333.333333333336,100000.0,1.7142857142857142
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000, Rejected,0,0,1,17800000,2.5428571428571427,2.0,291666.6666666667,2225000.0,7.628571428571428
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000, Approved,1,0,0,45300000,3.5454545454545454,1.4519230769230769,733333.3333333334,7800000.0,10.636363636363637
83,2, Not Graduate, Yes,9900000,21200000,16,363,24950000,11400000,26600000,6800000, Rejected,1,1,1,69750000,2.1414141414141414,3.2900943396226414,825000.0,1325000.0,1.606060606060606
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000, Approved,0,0,0,23300000,2.388888888888889,2.7093023255813953,300000.0,430000.0,1.4333333333333333
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000, Approved,1,1,0,25500000,2.7333333333333334,3.1097560975609757,250000.0,512500.0,2.05
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000, Rejected,0,0,1,48700000,3.1176470588235294,2.297169811320755,566666.6666666666,1325000.0,2.338235294117647
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected,1,1,1,7900000,3.4545454545454546,2.0789473684210527,91666.66666666667,211111.11111111112,2.303030303030303
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000, Rejected,1,1,1,72100000,3.2528735632183907,2.547703180212014,725000.0,3537500.0,4.879310344827586
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000, Approved,0,1,0,14500000,4.0,1.8125,166666.66666666666,1333333.3333333333,8.0
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000, Approved,1,0,0,55100000,3.836734693877551,1.4654255319148937,816666.6666666666,3760000.0,4.604081632653061
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000, Rejected,0,0,1,23300000,3.7017543859649122,1.1042654028436019,475000.0,1172222.2222222222,2.4678362573099415
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000, Rejected,0,0,1,57500000,2.352272727272727,2.7777777777777777,733333.3333333334,1150000.0,1.5681818181818181
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000, Approved,0,0,0,30400000,2.3421052631578947,3.4157303370786516,316666.6666666667,2225000.0,7.026315789473684
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000, Rejected,0,0,1,9700000,3.764705882352941,1.515625,141666.66666666666,640000.0,4.517647058823529
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000, Rejected,0,0,1,6100000,2.0,3.05,83333.33333333333,200000.0,2.4000000000000004
96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000, Approved,0,0,0,1700000,3.6666666666666665,1.5454545454545454,25000.0,550000.0,22.0
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000, Rejected,0,1,1,31200000,2.272727272727273,2.08,550000.0,833333.3333333334,1.5151515151515151
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000, Approved,1,0,0,53700000,2.8735632183908044,2.148,725000.0,1250000.0,1.7241379310344827
99,4, Graduate, No,9400000,29400000,12,562,24950000,15200000,36400000,7100000, Approved,0,0,0,83650000,3.127659574468085,2.8452380952380953,783333.3333333334,2450000.0,3.127659574468085
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000, Rejected,0,0,1,25700000,2.4545454545454546,2.3796296296296298,366666.6666666667,771428.5714285715,2.103896103896104
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000, Rejected,1,0,1,2100000,2.25,2.3333333333333335,33333.333333333336,75000.0,2.25
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000, Approved,1,1,0,1200000,3.6666666666666665,1.0909090909090908,25000.0,550000.0,22.0
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000, Approved,1,1,0,28800000,3.0,2.2325581395348837,358333.3333333333,645000.0,1.8
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved,0,0,0,8400000,2.8125,1.8666666666666667,133333.33333333334,375000.0,2.8125
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected,1,1,1,61300000,3.806451612903226,2.597457627118644,516666.6666666667,2360000.0,4.567741935483871
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000, Approved,1,1,0,29900000,2.3095238095238093,3.082474226804124,350000.0,606250.0,1.7321428571428572
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000, Approved,1,1,0,49500000,2.011111111111111,2.734806629834254,750000.0,1508333.3333333333,2.011111111111111
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved,0,0,0,15700000,3.925925925925926,1.4811320754716981,225000.0,1766666.6666666667,7.851851851851852
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000, Approved,0,1,0,58500000,3.7010309278350517,1.6295264623955432,808333.3333333334,17950000.0,22.20618556701031
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000, Rejected,0,0,1,19000000,2.0606060606060606,2.7941176470588234,275000.0,485714.28571428574,1.7662337662337664
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000, Approved,1,0,0,2000000,3.6666666666666665,1.8181818181818181,25000.0,137500.0,5.5
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000, Rejected,0,1,1,31600000,2.4594594594594597,1.7362637362637363,616666.6666666666,1300000.0,2.1081081081081083
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected,1,0,1,48000000,2.7746478873239435,2.436548223350254,591666.6666666666,2462500.0,4.161971830985916
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000, Approved,1,1,0,59200000,3.0273972602739727,2.678733031674208,608333.3333333334,1227777.7777777778,2.018264840182648
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000, Rejected,1,0,1,62700000,2.7857142857142856,2.6794871794871793,700000.0,1671428.5714285714,2.387755102040816
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000, Approved,1,1,0,17600000,3.272727272727273,1.6296296296296295,275000.0,900000.0,3.272727272727273
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected,1,1,1,50400000,4.0,2.1724137931034484,483333.3333333333,1288888.888888889,2.666666666666667
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved,1,0,0,4300000,2.6666666666666665,2.6875,50000.0,266666.6666666667,5.333333333333334
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected,1,0,1,50000000,2.1944444444444446,3.1645569620253164,600000.0,1316666.6666666667,2.1944444444444446
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000, Approved,1,1,0,33700000,3.6153846153846154,1.0243161094224924,758333.3333333334,16450000.0,21.69230769230769
121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000, Rejected,0,0,1,3800000,2.5555555555555554,1.6521739130434783,75000.0,143750.0,1.9166666666666667
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000, Rejected,0,0,1,4200000,4.0,1.3125,66666.66666666667,400000.0,6.0
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000, Approved,1,0,0,37300000,3.8705882352941177,1.1337386018237081,708333.3333333334,3290000.0,4.644705882352941
124,0, Not Graduate, Yes,9000000,18700000,18,865,24950000,0,20900000,11300000, Approved,1,1,0,57150000,2.077777777777778,3.056149732620321,750000.0,1038888.8888888889,1.385185185185185
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000, Approved,0,0,0,50900000,2.7857142857142856,2.6102564102564103,583333.3333333334,1392857.142857143,2.3877551020408165
126,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000, Approved,0,0,0,1100000,3.0,1.8333333333333333,16666.666666666668,37500.0,2.25
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000, Approved,1,1,0,2400000,2.0,3.0,33333.333333333336,80000.0,2.4
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected,1,0,1,29900000,3.5686274509803924,1.6428571428571428,425000.0,1820000.0,4.2823529411764705
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000, Rejected,1,1,1,6400000,3.7142857142857144,2.4615384615384617,58333.333333333336,216666.66666666666,3.714285714285714
130,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000, Approved,0,0,0,2100000,3.0,1.75,33333.333333333336,100000.0,3.0
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000, Approved,1,1,0,74300000,2.1894736842105265,3.5721153846153846,791666.6666666666,1485714.2857142857,1.8766917293233083
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000, Rejected,0,0,1,39600000,2.5681818181818183,1.752212389380531,733333.3333333334,2260000.0,3.0818181818181816
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000, Rejected,1,1,1,9100000,2.0,2.5277777777777777,150000.0,200000.0,1.3333333333333333
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000, Rejected,1,1,1,56100000,2.0441176470588234,4.0359712230215825,566666.6666666666,1737500.0,3.0661764705882355
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000, Approved,1,0,0,8600000,3.6666666666666665,1.5636363636363637,125000.0,343750.0,2.75
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000, Rejected,0,0,1,7700000,3.4375,1.4,133333.33333333334,458333.3333333333,3.4374999999999996
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000, Approved,1,0,0,26100000,3.630434782608696,1.562874251497006,383333.3333333333,8350000.0,21.782608695652176
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000, Rejected,1,1,1,15400000,3.0454545454545454,2.298507462686567,183333.33333333334,1116666.6666666667,6.090909090909091
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000, Approved,1,1,0,13400000,2.9310344827586206,1.576470588235294,241666.66666666666,708333.3333333334,2.931034482758621
140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000, Rejected,0,0,1,1500000,3.5,2.142857142857143,16666.666666666668,87500.0,5.25
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000, Approved,1,1,0,23500000,3.76,2.5,208333.33333333334,940000.0,4.512
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000, Approved,1,0,0,17800000,2.0833333333333335,2.3733333333333335,300000.0,1250000.0,4.166666666666667
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000, Approved,0,1,0,25500000,3.036363636363636,1.526946107784431,458333.3333333333,927777.7777777778,2.0242424242424244
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000, Rejected,1,0,1,45700000,2.6363636363636362,2.6264367816091956,550000.0,870000.0,1.5818181818181818
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000, Approved,0,1,0,60400000,3.7325581395348837,1.881619937694704,716666.6666666666,5350000.0,7.465116279069768
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000, Rejected,1,0,1,3600000,2.5,2.4,50000.0,107142.85714285714,2.142857142857143
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000, Approved,0,1,0,10000000,2.2857142857142856,3.125,116666.66666666667,160000.0,1.3714285714285714
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000, Approved,0,0,0,24700000,2.775,2.225225225225225,333333.3333333333,925000.0,2.7750000000000004
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000, Approved,1,1,0,37800000,2.4285714285714284,3.176470588235294,408333.3333333333,743750.0,1.8214285714285716
